r_mm,sag1_mm,min_sag1_mm,max_sag1_mm,sag2_mm,min_sag2_mm,max_sag2_mm
0.087,0,-0.01,0.01,-0.153419392302329,-0.163419392302329,-0.143419392302329
0.088,0,-0.01,0.01,-0.153451282290169,-0.163451282290169,-0.143451282290169
0.089,0,-0.01,0.01,-0.153483153635775,-0.163483153635775,-0.143483153635775
0.09,0,-0.01,0.01,-0.153515006339148,-0.163515006339148,-0.143515006339148
0.091,0,-0.01,0.01,-0.153546840400287,-0.163546840400287,-0.143546840400287
0.092,0,-0.01,0.01,-0.153578655819194,-0.163578655819194,-0.143578655819194
0.093,0,-0.01,0.01,-0.153610452595867,-0.163610452595867,-0.143610452595867
0.094,0,-0.01,0.01,-0.153642230730307,-0.163642230730307,-0.143642230730307
0.095,0,-0.01,0.01,-0.153673990222514,-0.163673990222514,-0.143673990222514
0.096,0,-0.01,0.01,-0.153705731072487,-0.163705731072487,-0.143705731072487
0.097,0,-0.01,0.01,-0.153737453280227,-0.163737453280227,-0.143737453280227
0.098,0,-0.01,0.01,-0.153769156845734,-0.163769156845734,-0.143769156845734
0.099,0,-0.01,0.01,-0.153800841769008,-0.163800841769008,-0.143800841769008
0.1,0,-0.01,0.01,-0.153832508050048,-0.163832508050048,-0.143832508050048
0.101,0,-0.01,0.01,-0.153864155688855,-0.163864155688855,-0.143864155688855
0.102,0,-0.01,0.01,-0.153895784685429,-0.163895784685429,-0.143895784685429
0.103,0,-0.01,0.01,-0.15392739503977,-0.16392739503977,-0.14392739503977
0.104,0,-0.01,0.01,-0.153958986751877,-0.163958986751877,-0.143958986751877
0.105,0,-0.01,0.01,-0.153990559821751,-0.163990559821751,-0.143990559821751
0.106,0,-0.01,0.01,-0.154022114249392,-0.164022114249392,-0.144022114249392
0.107,0,-0.01,0.01,-0.1540536500348,-0.1640536500348,-0.1440536500348
0.108,0,-0.01,0.01,-0.154085167177974,-0.164085167177974,-0.144085167177974
0.109,0,-0.01,0.01,-0.154116665678915,-0.164116665678915,-0.144116665678915
0.11,0,-0.01,0.01,-0.154148145537623,-0.164148145537623,-0.144148145537623
0.111,0,-0.01,0.01,-0.154179606754097,-0.164179606754097,-0.144179606754097
0.112,0,-0.01,0.01,-0.154211049328339,-0.164211049328339,-0.144211049328339
0.113,0,-0.01,0.01,-0.154242473260347,-0.164242473260347,-0.144242473260347
0.114,0,-0.01,0.01,-0.154273878550121,-0.164273878550121,-0.144273878550121
0.115,0,-0.01,0.01,-0.154305265197663,-0.164305265197663,-0.144305265197663
0.116,0,-0.01,0.01,-0.154336633202971,-0.164336633202971,-0.144336633202971
0.117,0,-0.01,0.01,-0.154367982566046,-0.164367982566046,-0.144367982566046
0.118,0,-0.01,0.01,-0.154399313286888,-0.164399313286888,-0.144399313286888
0.119,0,-0.01,0.01,-0.154430625365496,-0.164430625365496,-0.144430625365496
0.12,0,-0.01,0.01,-0.154461918801871,-0.164461918801871,-0.144461918801871
0.121,0,-0.01,0.01,-0.154493193596013,-0.164493193596013,-0.144493193596013
0.122,0,-0.01,0.01,-0.154524449747922,-0.164524449747922,-0.144524449747922
0.123,0,-0.01,0.01,-0.154555687257597,-0.164555687257597,-0.144555687257597
0.124,0,-0.01,0.01,-0.154586906125039,-0.164586906125039,-0.144586906125039
0.125,0,-0.01,0.01,-0.154618106350248,-0.164618106350248,-0.144618106350248
0.126,0,-0.01,0.01,-0.154649287933224,-0.164649287933224,-0.144649287933224
0.127,0,-0.01,0.01,-0.154680450873966,-0.164680450873966,-0.144680450873966
0.128,0,-0.01,0.01,-0.154711595172475,-0.164711595172475,-0.144711595172475
0.129,0,-0.01,0.01,-0.154742720828751,-0.164742720828751,-0.144742720828751
0.13,0,-0.01,0.01,-0.154773827842794,-0.164773827842794,-0.144773827842794
0.131,0,-0.01,0.01,-0.154804916214603,-0.164804916214603,-0.144804916214603
0.132,0,-0.01,0.01,-0.154835985944179,-0.164835985944179,-0.144835985944179
0.133,0,-0.01,0.01,-0.154867037031522,-0.164867037031522,-0.144867037031522
0.134,0,-0.01,0.01,-0.154898069476631,-0.164898069476631,-0.144898069476632
0.135,0,-0.01,0.01,-0.154929083279508,-0.164929083279508,-0.144929083279508
0.136,0,-0.01,0.01,-0.154960078440151,-0.164960078440151,-0.144960078440151
0.137,0,-0.01,0.01,-0.154991054958561,-0.164991054958561,-0.144991054958561
0.138,0,-0.01,0.01,-0.155022012834737,-0.165022012834737,-0.145022012834737
0.139,0,-0.01,0.01,-0.15505295206868,-0.16505295206868,-0.14505295206868
0.14,0,-0.01,0.01,-0.15508387266039,-0.16508387266039,-0.14508387266039
0.141,0,-0.01,0.01,-0.155114774609867,-0.165114774609867,-0.145114774609867
0.142,0,-0.01,0.01,-0.15514565791711,-0.16514565791711,-0.14514565791711
0.143,0,-0.01,0.01,-0.155176522582121,-0.165176522582121,-0.145176522582121
0.144,0,-0.01,0.01,-0.155207368604898,-0.165207368604898,-0.145207368604898
0.145,0,-0.01,0.01,-0.155238195985441,-0.165238195985441,-0.145238195985441
0.146,0,-0.01,0.01,-0.155269004723752,-0.165269004723752,-0.145269004723752
0.147,0,-0.01,0.01,-0.155299794819829,-0.165299794819829,-0.145299794819829
0.148,0,-0.01,0.01,-0.155330566273673,-0.165330566273673,-0.145330566273673
0.149,0,-0.01,0.01,-0.155361319085283,-0.165361319085283,-0.145361319085283
0.15,0,-0.01,0.01,-0.155392053254661,-0.165392053254661,-0.145392053254661
0.151,0,-0.01,0.01,-0.155422768781805,-0.165422768781805,-0.145422768781805
0.152,0,-0.01,0.01,-0.155453465666716,-0.165453465666716,-0.145453465666716
0.153,0,-0.01,0.01,-0.155484143909393,-0.165484143909393,-0.145484143909393
0.154,0,-0.01,0.01,-0.155514803509838,-0.165514803509838,-0.145514803509838
0.155,0,-0.01,0.01,-0.155545444468049,-0.165545444468049,-0.145545444468049
0.156,0,-0.01,0.01,-0.155576066784026,-0.165576066784026,-0.145576066784026
0.157,0,-0.01,0.01,-0.155606670457771,-0.165606670457771,-0.145606670457771
0.158,0,-0.01,0.01,-0.155637255489282,-0.165637255489282,-0.145637255489282
0.159,0,-0.01,0.01,-0.15566782187856,-0.16566782187856,-0.14566782187856
0.16,0,-0.01,0.01,-0.155698369625605,-0.165698369625605,-0.145698369625605
0.161,0,-0.01,0.01,-0.155728898730417,-0.165728898730417,-0.145728898730417
0.162,0,-0.01,0.01,-0.155759409192995,-0.165759409192995,-0.145759409192995
0.163,0,-0.01,0.01,-0.15578990101334,-0.16578990101334,-0.14578990101334
0.164,0,-0.01,0.01,-0.155820374191452,-0.165820374191452,-0.145820374191452
0.165,0,-0.01,0.01,-0.15585082872733,-0.16585082872733,-0.14585082872733
0.166,0,-0.01,0.01,-0.155881264620975,-0.165881264620975,-0.145881264620975
0.167,0,-0.01,0.01,-0.155911681872387,-0.165911681872387,-0.145911681872387
0.168,0,-0.01,0.01,-0.155942080481566,-0.165942080481566,-0.145942080481566
0.169,0,-0.01,0.01,-0.155972460448511,-0.165972460448511,-0.145972460448511
